,Gênero musical favorito,Deseja gastar,Até quanto pretende gastar?,O quão longe gostaria de ir?,Gostaria de comer durante o passeio?,Qual o seu estado civil?,É religioso?,Tem filhos?,Gosta de esportes?,Quais esportes?,Torce para algum time?,Estilo de filme favorito:,Ponto de partida,Locais
0,5,FALSE,54,55,TRUE,3,TRUE,TRUE,FALSE,2,3,7,54,Oslo
1,6,TRUE,35,53,FALSE,3,TRUE,TRUE,FALSE,5,1,6,58,Oslo
2,7,TRUE,100,61,TRUE,4,TRUE,TRUE,TRUE,2,3,5,66,Oslo
3,2,FALSE,54,61,TRUE,1,TRUE,FALSE,TRUE,3,3,2,58,Oslo
4,2,FALSE,84,94,FALSE,3,FALSE,FALSE,TRUE,5,3,5,12,Oslo
5,5,FALSE,77,77,FALSE,1,TRUE,TRUE,FALSE,2,2,6,68,Oslo
6,5,FALSE,90,1,FALSE,4,TRUE,TRUE,TRUE,1,2,6,80,Oslo
7,6,FALSE,315,81,FALSE,4,FALSE,FALSE,FALSE,3,3,3,72,Oslo
8,2,FALSE,355,3,TRUE,1,FALSE,TRUE,FALSE,3,1,7,63,Oslo
9,4,FALSE,87,48,TRUE,3,FALSE,TRUE,TRUE,5,4,7,50,Oslo
10,6,TRUE,440,9,FALSE,2,FALSE,TRUE,FALSE,3,1,5,30,Oslo
11,7,TRUE,329,29,FALSE,2,FALSE,FALSE,FALSE,3,1,7,39,Oslo
12,3,FALSE,374,28,FALSE,2,TRUE,TRUE,TRUE,2,3,7,68,Oslo
13,5,TRUE,93,46,FALSE,4,TRUE,TRUE,TRUE,1,1,6,32,Oslo
14,1,FALSE,109,20,FALSE,1,FALSE,FALSE,TRUE,3,2,4,23,Oslo
15,6,TRUE,179,88,TRUE,3,TRUE,FALSE,TRUE,3,1,4,62,Oslo
16,3,FALSE,399,52,FALSE,1,FALSE,FALSE,FALSE,4,3,4,98,Oslo
17,7,TRUE,81,71,FALSE,1,TRUE,FALSE,TRUE,3,4,5,37,Oslo
18,2,TRUE,79,86,TRUE,3,FALSE,FALSE,FALSE,5,4,4,98,Oslo
19,5,FALSE,284,19,TRUE,3,TRUE,FALSE,FALSE,1,4,4,62,Oslo
20,3,TRUE,48,50,FALSE,2,TRUE,FALSE,FALSE,3,2,4,69,Oslo
21,4,FALSE,492,31,FALSE,4,TRUE,FALSE,TRUE,1,1,6,99,Oslo
22,7,TRUE,380,58,TRUE,1,FALSE,FALSE,TRUE,5,2,3,24,Oslo
23,4,FALSE,174,31,TRUE,3,TRUE,FALSE,FALSE,5,1,4,31,Oslo
24,7,FALSE,354,31,FALSE,2,TRUE,FALSE,FALSE,5,3,5,39,Oslo
25,5,TRUE,357,40,TRUE,4,TRUE,FALSE,FALSE,3,1,7,68,Oslo
26,5,TRUE,452,34,FALSE,3,TRUE,TRUE,FALSE,5,4,2,100,Oslo
27,6,FALSE,175,5,TRUE,3,TRUE,FALSE,TRUE,4,4,1,7,Oslo
28,5,FALSE,86,75,FALSE,1,FALSE,TRUE,FALSE,4,1,1,6,Oslo
29,3,FALSE,203,89,TRUE,2,TRUE,TRUE,TRUE,3,3,6,2,Oslo
30,3,TRUE,419,17,FALSE,2,FALSE,FALSE,FALSE,1,4,5,2,Oslo
31,6,FALSE,213,34,FALSE,1,FALSE,TRUE,FALSE,5,4,1,27,Oslo
32,6,FALSE,83,24,FALSE,4,TRUE,FALSE,TRUE,5,2,2,48,Oslo
33,1,TRUE,348,15,TRUE,4,TRUE,TRUE,TRUE,1,3,6,47,Oslo
34,2,FALSE,281,46,TRUE,2,TRUE,FALSE,FALSE,1,4,5,52,Oslo
35,4,FALSE,311,57,TRUE,4,FALSE,TRUE,FALSE,5,2,3,8,Oslo
36,3,TRUE,196,39,TRUE,2,TRUE,FALSE,FALSE,4,1,1,47,Oslo
37,3,TRUE,295,83,FALSE,1,FALSE,TRUE,FALSE,5,4,7,29,Oslo
38,5,TRUE,427,52,TRUE,2,TRUE,TRUE,FALSE,5,4,6,98,Oslo
39,7,FALSE,412,49,TRUE,1,TRUE,TRUE,FALSE,2,3,6,34,Oslo
40,1,TRUE,188,77,FALSE,1,FALSE,FALSE,FALSE,3,3,5,33,Oslo
41,5,FALSE,213,17,TRUE,1,FALSE,FALSE,TRUE,4,4,7,18,Oslo
42,2,TRUE,10,64,FALSE,4,FALSE,TRUE,TRUE,4,3,2,36,Oslo
43,4,FALSE,20,46,FALSE,3,FALSE,TRUE,TRUE,1,2,2,39,Oslo
44,6,TRUE,303,29,FALSE,4,TRUE,TRUE,TRUE,4,4,3,12,Oslo
45,4,FALSE,317,20,FALSE,3,TRUE,FALSE,TRUE,3,1,3,98,Oslo
46,6,TRUE,207,38,TRUE,1,TRUE,TRUE,FALSE,3,4,4,15,Oslo
47,6,TRUE,417,35,TRUE,2,TRUE,FALSE,FALSE,5,4,2,89,Oslo
48,6,FALSE,275,36,FALSE,2,TRUE,TRUE,TRUE,2,2,4,79,Oslo
49,4,TRUE,289,29,TRUE,4,TRUE,FALSE,FALSE,2,4,7,39,Oslo
50,5,FALSE,98,20,TRUE,3,FALSE,FALSE,FALSE,3,1,1,69,Oslo
51,5,FALSE,48,12,FALSE,4,FALSE,TRUE,TRUE,4,1,6,80,Oslo
