,genero_musical,comida_favorita,filme_favorito,esporte_favorito,time,religiao,tem_filhos,idade,destino
0,7.0,1.0,7.0,4.0,4.0,0.0,1.0,21.0,Shopping
1,7.0,1.0,7.0,4.0,4.0,0.0,1.0,21.0,Parque
2,7.0,1.0,7.0,4.0,4.0,0.0,1.0,21.0,Shopping
3,1.0,1.0,7.0,3.0,1.0,6.0,1.0,21.0,Parque
4,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
5,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
6,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
7,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
8,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
9,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
10,3.0,0.0,3.0,0.0,3.0,0.0,1.0,27.0,Shopping
11,3.0,4.0,2.0,0.0,0.0,0.0,1.0,27.0,Shopping
12,0.0,5.0,7.0,7.0,0.0,6.0,1.0,57.0,Teatro
13,0.0,1.0,1.0,0.0,3.0,0.0,1.0,53.0,Parque
14,0.0,0.0,1.0,4.0,0.0,0.0,1.0,52.0,Shopping
15,3.0,2.0,3.0,2.0,4.0,0.0,1.0,52.0,Parque
16,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Cinema
17,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Shopping
18,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Parque
19,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Shopping
20,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Show
21,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Museu
22,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Biblioteca
23,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Estádio
24,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Jogos
25,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Teatro
26,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Bar
27,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Shopping
28,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Shopping
29,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Teatro
30,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Bar
31,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Cinema
32,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Shopping
33,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Parque
34,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Show
35,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Teatro
36,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Bar
37,4.0,1.0,2.0,7.0,3.0,0.0,1.0,46.0,Parque
38,1.0,5.0,3.0,2.0,1.0,0.0,1.0,46.0,Shopping
